id,slug,title,category_path,width_m,depth_m,height_m,vertices,triangles,material_slots,file_size_bytes,sha256,usdz,preview
MAP-0011,map-0011-stainless-bar-handle-dishwasher,Stainless Bar-Handle Dishwasher,appliances/major-appliances,0.6,0.61,0.86,968,1908,2,571549,1498552289ce99dd3aea7f72d7ff86190b98bc3fce0cfd1290559b4dc4d07d32,assets/appliances/major-appliances/map-0011-stainless-bar-handle-dishwasher.usdz,previews/appliances/major-appliances/map-0011-stainless-bar-handle-dishwasher.jpg
MAP-0012,map-0012-white-front-load-washer,White Front-Load Washer,appliances/major-appliances,0.69,0.8,0.98,3288,6536,4,904981,3feceda4a4a01beb7bff7ca485d6044f1e061a231e18294596585911283188a0,assets/appliances/major-appliances/map-0012-white-front-load-washer.usdz,previews/appliances/major-appliances/map-0012-white-front-load-washer.jpg
MAP-0013,map-0013-graphite-front-load-dryer,Graphite Front-Load Dryer,appliances/major-appliances,0.69,0.8,0.98,3864,7664,3,622332,e691bdfef334d32c42c6ec94af1ed0eb4e7fd8016484ed165d66c496cdc3134c,assets/appliances/major-appliances/map-0013-graphite-front-load-dryer.usdz,previews/appliances/major-appliances/map-0013-graphite-front-load-dryer.jpg
MAP-0014,map-0014-white-glass-lid-top-load-washer,White Glass-Lid Top-Load Washer,appliances/major-appliances,0.69,0.72,1.1,2272,4500,3,399313,0fbbbd6e238b2eaa6ba00f14e4209c3c5b6b56cf181dd3add6db4212848f46b5,assets/appliances/major-appliances/map-0014-white-glass-lid-top-load-washer.usdz,previews/appliances/major-appliances/map-0014-white-glass-lid-top-load-washer.jpg
MAP-0015,map-0015-graphite-two-door-laundry-center,Graphite Two-Door Laundry Center,appliances/major-appliances,0.69,0.78,1.93,3832,7632,3,584810,3255de9a10890b7e4aecfedcec1cead8dbeb19b2ad31969125aa0e7bb7fc0751,assets/appliances/major-appliances/map-0015-graphite-two-door-laundry-center.usdz,previews/appliances/major-appliances/map-0015-graphite-two-door-laundry-center.jpg
MAP-0016,map-0016-black-six-rack-wine-cooler,Black Six-Rack Wine Cooler,appliances/major-appliances,0.6,0.61,0.86,2240,4404,3,644616,075685cdf4e8a6bc80730c5034f9343aee8a441867f2d7bd449071671cb7d348,assets/appliances/major-appliances/map-0016-black-six-rack-wine-cooler.usdz,previews/appliances/major-appliances/map-0016-black-six-rack-wine-cooler.jpg
MAP-0017,map-0017-stainless-freestanding-ice-maker,Stainless Freestanding Ice Maker,appliances/major-appliances,0.38,0.61,0.84,2344,4624,2,597737,0559452f2a3bf8f9dd799043e82e3a0a3bf66ea15bcd3df1f68a11500a89253d,assets/appliances/major-appliances/map-0017-stainless-freestanding-ice-maker.usdz,previews/appliances/major-appliances/map-0017-stainless-freestanding-ice-maker.jpg
MAP-0018,map-0018-stainless-pull-out-trash-compactor,Stainless Pull-Out Trash Compactor,appliances/major-appliances,0.38,0.61,0.86,1088,2148,2,579726,ab9834e3b8aa6530fdf4a67416cf6e0e06c030604919adea0ba44b3abee5bfe7,assets/appliances/major-appliances/map-0018-stainless-pull-out-trash-compactor.usdz,previews/appliances/major-appliances/map-0018-stainless-pull-out-trash-compactor.jpg
MAP-0019,map-0019-white-cylindrical-storage-water-heater,White Cylindrical Storage Water Heater,appliances/major-appliances,0.56,0.56,1.55,2568,5112,3,776723,85aeee96449a979f50a1118ad125590c90e8c4fe1aad35a205bb9ecc5bb4ddab,assets/appliances/major-appliances/map-0019-white-cylindrical-storage-water-heater.usdz,previews/appliances/major-appliances/map-0019-white-cylindrical-storage-water-heater.jpg
MAP-0020,map-0020-white-four-caster-portable-air-conditioner,White Four-Caster Portable Air Conditioner,appliances/major-appliances,0.48,0.42,0.78,4216,8336,3,438215,fac6d7b8357bd54d241033f64f66182d5c696c17ae38775293a8a26a2e9c3d5c,assets/appliances/major-appliances/map-0020-white-four-caster-portable-air-conditioner.usdz,previews/appliances/major-appliances/map-0020-white-four-caster-portable-air-conditioner.jpg
SAP-0001,sap-0001-black-glass-jar-countertop-blender,Black Glass-Jar Countertop Blender,appliances/small-appliances,0.22,0.19,0.46,4012,7912,3,870203,b68085bc46d5bca5d65da37bc42d4f06cd45f0c049357e3b3ad8745aa7d30b73,assets/appliances/small-appliances/sap-0001-black-glass-jar-countertop-blender.usdz,previews/appliances/small-appliances/sap-0001-black-glass-jar-countertop-blender.jpg
SAP-0002,sap-0002-white-tilt-head-stand-mixer,White Tilt-Head Stand Mixer,appliances/small-appliances,0.36,0.34,0.36,2136,4248,3,795588,cb3a16d137f7abb3be6062ea39b40b186a254d7e81eb4cf675972f5a37a61520,assets/appliances/small-appliances/sap-0002-white-tilt-head-stand-mixer.usdz,previews/appliances/small-appliances/sap-0002-white-tilt-head-stand-mixer.jpg
SAP-0003,sap-0003-graphite-feed-tube-food-processor,Graphite Feed-Tube Food Processor,appliances/small-appliances,0.24,0.22,0.4,2416,4804,3,715256,5c0bdb5a3e57d71b4087523556a9a286fbb3666d7da7966a2abe24944a3a39d8,assets/appliances/small-appliances/sap-0003-graphite-feed-tube-food-processor.usdz,previews/appliances/small-appliances/sap-0003-graphite-feed-tube-food-processor.jpg
SAP-0004,sap-0004-stainless-two-beater-hand-mixer,Stainless Two-Beater Hand Mixer,appliances/small-appliances,0.19,0.09,0.15,2092,4112,2,616960,8a2522a3dc60b544f5592d2b80fc6180766574f1afaa8cd9a6c0da7ec346de5c,assets/appliances/small-appliances/sap-0004-stainless-two-beater-hand-mixer.usdz,previews/appliances/small-appliances/sap-0004-stainless-two-beater-hand-mixer.jpg
SAP-0005,sap-0005-red-detachable-shaft-immersion-blender,Red Detachable-Shaft Immersion Blender,appliances/small-appliances,0.08,0.08,0.42,2144,4252,3,679101,6421bcc4886397ce1a04b4be581a48787347873786d8bbac37f31cdb2a66030a,assets/appliances/small-appliances/sap-0005-red-detachable-shaft-immersion-blender.usdz,previews/appliances/small-appliances/sap-0005-red-detachable-shaft-immersion-blender.jpg
SAP-0006,sap-0006-black-glass-carafe-drip-coffee-maker,Black Glass-Carafe Drip Coffee Maker,appliances/small-appliances,0.24,0.24,0.37,2892,5692,3,833199,744ff3609faa24c17eab7a8451644e8ee92586752f0676d690434a764932b6c3,assets/appliances/small-appliances/sap-0006-black-glass-carafe-drip-coffee-maker.usdz,previews/appliances/small-appliances/sap-0006-black-glass-carafe-drip-coffee-maker.jpg
SAP-0007,sap-0007-stainless-two-spout-espresso-machine,Stainless Two-Spout Espresso Machine,appliances/small-appliances,0.3,0.31,0.36,2692,5292,3,840209,ac629ca1dd503355d818f3691467cce42ad810bae9f9629b31ebefec9084cb82,assets/appliances/small-appliances/sap-0007-stainless-two-spout-espresso-machine.usdz,previews/appliances/small-appliances/sap-0007-stainless-two-spout-espresso-machine.jpg
SAP-0008,sap-0008-cream-gooseneck-electric-kettle,Cream Gooseneck Electric Kettle,appliances/small-appliances,0.26,0.2,0.27,2120,4120,3,851156,421ee6625e57a7ca83c3aadae759c6e10589b68fbc65c9bbd1790905f80166fd,assets/appliances/small-appliances/sap-0008-cream-gooseneck-electric-kettle.usdz,previews/appliances/small-appliances/sap-0008-cream-gooseneck-electric-kettle.jpg
SAP-0009,sap-0009-white-reamer-bowl-citrus-juicer,White Reamer-Bowl Citrus Juicer,appliances/small-appliances,0.2,0.2,0.3,2688,5344,3,546765,9f135e2baa82826d55f81f58369d4fa49753d790d7836741dd1cfe6f1ade3df6,assets/appliances/small-appliances/sap-0009-white-reamer-bowl-citrus-juicer.usdz,previews/appliances/small-appliances/sap-0009-white-reamer-bowl-citrus-juicer.jpg
SAP-0010,sap-0010-black-compact-capsule-coffee-maker,Black Compact Capsule Coffee Maker,appliances/small-appliances,0.14,0.32,0.28,2424,4816,3,844195,0454371f8180b1a41cc6cc1ac13e8c85ae841c547ba9b7f9f8f05e01c6018b4d,assets/appliances/small-appliances/sap-0010-black-compact-capsule-coffee-maker.usdz,previews/appliances/small-appliances/sap-0010-black-compact-capsule-coffee-maker.jpg
SAP-0011,sap-0011-stainless-two-slot-toaster,Stainless Two-Slot Toaster,appliances/small-appliances,0.28,0.18,0.2,1752,3472,2,572207,871d434bdd630c5dceefba0c0bbd44e375471d12dd1ef1bf542d1d6cc1aa37ea,assets/appliances/small-appliances/sap-0011-stainless-two-slot-toaster.usdz,previews/appliances/small-appliances/sap-0011-stainless-two-slot-toaster.jpg
SAP-0012,sap-0012-black-four-slot-dual-control-toaster,Black Four-Slot Dual-Control Toaster,appliances/small-appliances,0.32,0.28,0.2,2856,5652,2,587978,f5e4e5f6be5aef7c607a500cbae38c21816a6ba8831ba6d45db1c2f8ce7b34f6,assets/appliances/small-appliances/sap-0012-black-four-slot-dual-control-toaster.usdz,previews/appliances/small-appliances/sap-0012-black-four-slot-dual-control-toaster.jpg
SAP-0013,sap-0013-stainless-dial-control-countertop-microwave,Stainless Dial-Control Countertop Microwave,appliances/small-appliances,0.48,0.4,0.29,2544,5044,3,809583,0af4775b383628c85eb97997e23d7e9a7b7377978466ad9fd5b8b78297fae7fc,assets/appliances/small-appliances/sap-0013-stainless-dial-control-countertop-microwave.usdz,previews/appliances/small-appliances/sap-0013-stainless-dial-control-countertop-microwave.jpg
SAP-0014,sap-0014-black-basket-drawer-air-fryer,Black Basket-Drawer Air Fryer,appliances/small-appliances,0.29,0.34,0.34,3008,5948,3,696861,9ce4cd6fda9d39dd617a8201a91d4d6393521fe65505ae2cfb96b08e9687215a,assets/appliances/small-appliances/sap-0014-black-basket-drawer-air-fryer.usdz,previews/appliances/small-appliances/sap-0014-black-basket-drawer-air-fryer.jpg
SAP-0015,sap-0015-white-hinged-lid-rice-cooker,White Hinged-Lid Rice Cooker,appliances/small-appliances,0.29,0.27,0.24,2380,4676,3,772066,cd9d24452f411ca419eb869257f874e705457d6ce78fb1b710ea77232a29d1b8,assets/appliances/small-appliances/sap-0015-white-hinged-lid-rice-cooker.usdz,previews/appliances/small-appliances/sap-0015-white-hinged-lid-rice-cooker.jpg
SAP-0016,sap-0016-white-water-window-steam-iron,White Water-Window Steam Iron,appliances/small-appliances,0.29,0.13,0.15,1060,2048,3,826298,9f6c59dd12adad2a7dd348f5060b92c511f6318571961e438f8acde6aa6d8dfa,assets/appliances/small-appliances/sap-0016-white-water-window-steam-iron.usdz,previews/appliances/small-appliances/sap-0016-white-water-window-steam-iron.jpg
SAP-0017,sap-0017-mint-seven-port-handheld-garment-steamer,Mint Seven-Port Handheld Garment Steamer,appliances/small-appliances,0.13,0.1,0.26,3000,5952,3,721914,8274ac60334e22aad9974ba2c873be4d5a9e21eefbceff2d229a24845843eac4,assets/appliances/small-appliances/sap-0017-mint-seven-port-handheld-garment-steamer.usdz,previews/appliances/small-appliances/sap-0017-mint-seven-port-handheld-garment-steamer.jpg
SAP-0018,sap-0018-white-five-blade-table-fan,White Five-Blade Table Fan,appliances/small-appliances,0.32,0.24,0.4,3936,7780,3,866210,d6cef70b30d96d8bfaed0780cad638cb48e6d9ad1391cd447b67ad3fc231608f,assets/appliances/small-appliances/sap-0018-white-five-blade-table-fan.usdz,previews/appliances/small-appliances/sap-0018-white-five-blade-table-fan.jpg
SAP-0019,sap-0019-blue-top-nozzle-ultrasonic-humidifier,Blue Top-Nozzle Ultrasonic Humidifier,appliances/small-appliances,0.21,0.21,0.33,2880,5720,3,507675,4f0beb921b81045f071d04c9dc838c7d1293869a42f97d5dc49c13a61c8928fb,assets/appliances/small-appliances/sap-0019-blue-top-nozzle-ultrasonic-humidifier.usdz,previews/appliances/small-appliances/sap-0019-blue-top-nozzle-ultrasonic-humidifier.jpg
SAP-0020,sap-0020-black-two-brush-robot-vacuum,Black Two-Brush Robot Vacuum,appliances/small-appliances,0.34,0.34,0.095,4208,8356,3,614147,4bcef8d1c296cf123c8fedc37c950cc38704049bf4d64f77e7c4b9f137e8f353,assets/appliances/small-appliances/sap-0020-black-two-brush-robot-vacuum.usdz,previews/appliances/small-appliances/sap-0020-black-two-brush-robot-vacuum.jpg
BAC-0001,bac-0001-aged-brass-bell-pump-soap-dispenser,Aged-Brass Bell-Pump Soap Dispenser,bathroom/accessories,0.1,0.1,0.22,2300,4520,2,535271,d745e065b4350310d3e82dcde9cc59f62ef6d9f62fec88dfec19f3130184839f,assets/bathroom/accessories/bac-0001-aged-brass-bell-pump-soap-dispenser.usdz,previews/bathroom/accessories/bac-0001-aged-brass-bell-pump-soap-dispenser.jpg
BAC-0002,bac-0002-forest-green-ceramic-four-socket-toothbrush-caddy,Forest-Green Ceramic Four-Socket Toothbrush Caddy,bathroom/accessories,0.16,0.1,0.18,4138,8244,3,639687,1f1c87a5ba2323401dd9db3ede8cbc2758feec035a2a1f2f3d6697c46ffddde5,assets/bathroom/accessories/bac-0002-forest-green-ceramic-four-socket-toothbrush-caddy.usdz,previews/bathroom/accessories/bac-0002-forest-green-ceramic-four-socket-toothbrush-caddy.jpg
BAC-0003,bac-0003-white-marble-lidded-cotton-canister,White-Marble Lidded Cotton Canister,bathroom/accessories,0.14,0.14,0.18,1930,3848,3,1014401,f0e16051e12ea65a8a085d15eb7b6a449ebde903dd720899ea1eb10f4c81f693,assets/bathroom/accessories/bac-0003-white-marble-lidded-cotton-canister.usdz,previews/bathroom/accessories/bac-0003-white-marble-lidded-cotton-canister.jpg
BAC-0004,bac-0004-smoked-glass-ten-rib-tissue-box-cover,Smoked-Glass Ten-Rib Tissue-Box Cover,bathroom/accessories,0.26,0.14,0.13,6960,13856,3,641196,e786b6599e1cbc4cd6faca96f8e9089e5536f3924e50c47d7bb0acdbd873a50e,assets/bathroom/accessories/bac-0004-smoked-glass-ten-rib-tissue-box-cover.usdz,previews/bathroom/accessories/bac-0004-smoked-glass-ten-rib-tissue-box-cover.jpg
BAC-0005,bac-0005-natural-travertine-five-slot-drainage-soap-dish,Natural-Travertine Five-Slot Drainage Soap Dish,bathroom/accessories,0.18,0.12,0.05,7184,14324,3,928210,00732e72ccf4d5dfd2da7887f24004a856603d9bca6cd8eb067296d6030f6af5,assets/bathroom/accessories/bac-0005-natural-travertine-five-slot-drainage-soap-dish.usdz,previews/bathroom/accessories/bac-0005-natural-travertine-five-slot-drainage-soap-dish.jpg
BAC-0006,bac-0006-matte-black-domed-lid-toilet-brush-holder,Matte-Black Domed-Lid Toilet-Brush Holder,bathroom/accessories,0.16,0.16,0.48,1502,2936,2,264484,a9aaf98cd26aca93c95b11e738effcbd2f7119d1aa803326e776933cbbee7137,assets/bathroom/accessories/bac-0006-matte-black-domed-lid-toilet-brush-holder.usdz,previews/bathroom/accessories/bac-0006-matte-black-domed-lid-toilet-brush-holder.jpg
BAC-0007,bac-0007-satin-brass-twin-reserve-toilet-roll-stand,Satin-Brass Twin-Reserve Toilet-Roll Stand,bathroom/accessories,0.22,0.18,0.62,1984,3944,1,489761,4ddf809513576a2894c9095a9c867115d1fa69172f2d79884d9fe52b1ee72378,assets/bathroom/accessories/bac-0007-satin-brass-twin-reserve-toilet-roll-stand.usdz,previews/bathroom/accessories/bac-0007-satin-brass-twin-reserve-toilet-roll-stand.jpg
BAC-0008,bac-0008-white-enamel-step-pedal-bathroom-bin,White-Enamel Step-Pedal Bathroom Bin,bathroom/accessories,0.28,0.24,0.36,1874,3724,3,1113098,b5cca764705550507ca44938d5e8b2d0377ad77697ae190b815858280af583e3,assets/bathroom/accessories/bac-0008-white-enamel-step-pedal-bathroom-bin.usdz,previews/bathroom/accessories/bac-0008-white-enamel-step-pedal-bathroom-bin.jpg
BAC-0009,bac-0009-graphite-twelve-tick-analog-bathroom-scale,Graphite Twelve-Tick Analog Bathroom Scale,bathroom/accessories,0.34,0.34,0.08,3530,6976,4,1099350,3615b73d4f35e2b27b4bfdedad3a125e46576b5cc662bf4e36802d4d05362317,assets/bathroom/accessories/bac-0009-graphite-twelve-tick-analog-bathroom-scale.usdz,previews/bathroom/accessories/bac-0009-graphite-twelve-tick-analog-bathroom-scale.jpg
BAC-0010,bac-0010-brushed-nickel-floor-squeegee-and-drip-stand,Brushed-Nickel Floor Squeegee-and-Drip Stand,bathroom/accessories,0.22,0.18,0.72,1634,3240,2,638302,2c358847857865977fb9843615ad3eaf2d13d9c90e260e7df51f2e42c0c3c14d,assets/bathroom/accessories/bac-0010-brushed-nickel-floor-squeegee-and-drip-stand.usdz,previews/bathroom/accessories/bac-0010-brushed-nickel-floor-squeegee-and-drip-stand.jpg
BAC-0011,bac-0011-natural-oak-three-rail-towel-ladder,Natural-Oak Three-Rail Towel Ladder,bathroom/accessories,0.48,0.24,1.1,1912,3776,2,467537,88498b6f12698be8cc0619fa86f0d36b559f521d94272ec2c72de49b76dbb4b6,assets/bathroom/accessories/bac-0011-natural-oak-three-rail-towel-ladder.usdz,previews/bathroom/accessories/bac-0011-natural-oak-three-rail-towel-ladder.jpg
BAC-0012,bac-0012-black-steel-twin-arm-towel-valet,Black-Steel Twin-Arm Towel Valet,bathroom/accessories,0.52,0.24,0.86,1608,3184,1,202458,ac136e3f1d951cc69fbb40bcd61091f2667689131de19940ad63e9a9d6da5676,assets/bathroom/accessories/bac-0012-black-steel-twin-arm-towel-valet.usdz,previews/bathroom/accessories/bac-0012-black-steel-twin-arm-towel-valet.jpg
BAC-0013,bac-0013-white-aluminum-six-bar-accordion-drying-rack,White-Aluminum Six-Bar Accordion Drying Rack,bathroom/accessories,0.64,0.3,0.9,2672,5276,3,914342,2d861efb4151078dd41b00dd7152b718f7cd38859c6f965c6619b236ffc6a4da,assets/bathroom/accessories/bac-0013-white-aluminum-six-bar-accordion-drying-rack.usdz,previews/bathroom/accessories/bac-0013-white-aluminum-six-bar-accordion-drying-rack.jpg
BAC-0014,bac-0014-satin-brass-pivot-ring-towel-stand,Satin-Brass Pivot-Ring Towel Stand,bathroom/accessories,0.3,0.2,0.54,5602,11184,1,777779,ec4dd82dcfef505eec882b251c00c7de689694dd90763ca87ec075a9a5c05d94,assets/bathroom/accessories/bac-0014-satin-brass-pivot-ring-towel-stand.usdz,previews/bathroom/accessories/bac-0014-satin-brass-pivot-ring-towel-stand.jpg
BAC-0015,bac-0015-sage-three-hook-tripod-robe-valet,Sage Three-Hook Tripod Robe Valet,bathroom/accessories,0.38,0.28004,1.18,3284,6364,2,601653,91f9eb04da3329da44019c92c4814ae9b2ba5c50f737a0eebf6213ce4ecf77db,assets/bathroom/accessories/bac-0015-sage-three-hook-tripod-robe-valet.usdz,previews/bathroom/accessories/bac-0015-sage-three-hook-tripod-robe-valet.jpg
BAC-0016,bac-0016-natural-teak-seven-slat-bath-bridge,Natural-Teak Seven-Slat Bath Bridge,bathroom/accessories,0.72,0.22,0.08,2984,5904,3,586534,4ddaa22937de6fcbaf8f9e4a7554db9c91a16b094b8b7627ec43c382f3805de1,assets/bathroom/accessories/bac-0016-natural-teak-seven-slat-bath-bridge.usdz,previews/bathroom/accessories/bac-0016-natural-teak-seven-slat-bath-bridge.jpg
BAC-0017,bac-0017-polished-chrome-two-sided-magnifying-mirror-stand,Polished-Chrome Two-Sided Magnifying-Mirror Stand,bathroom/accessories,0.28,0.18,0.46,3066,6092,3,1100320,3bf88e22f0556c2327facafb0289546e711fcbc213cdf38d24142e0293abf5c9,assets/bathroom/accessories/bac-0017-polished-chrome-two-sided-magnifying-mirror-stand.usdz,previews/bathroom/accessories/bac-0017-polished-chrome-two-sided-magnifying-mirror-stand.jpg
BAC-0018,bac-0018-black-wire-three-tier-corner-shower-caddy,Black-Wire Three-Tier Corner Shower Caddy,bathroom/accessories,0.34,0.28,1.2,7140,14140,2,405705,6dd6192b68bc1634f00eb96877cd223cf08b9a4f8e5a3fd90b4ac5499ef82e9b,assets/bathroom/accessories/bac-0018-black-wire-three-tier-corner-shower-caddy.usdz,previews/bathroom/accessories/bac-0018-black-wire-three-tier-corner-shower-caddy.jpg
BAC-0019,bac-0019-board-formed-concrete-four-well-hair-tool-organizer,Board-Formed-Concrete Four-Well Hair-Tool Organizer,bathroom/accessories,0.32,0.2,0.22,3536,7028,4,1037558,671894f28c659d6d901bcfab0094992cd48dd7c44d44b522f033af03cf53bdf0,assets/bathroom/accessories/bac-0019-board-formed-concrete-four-well-hair-tool-organizer.usdz,previews/bathroom/accessories/bac-0019-board-formed-concrete-four-well-hair-tool-organizer.jpg
BAC-0020,bac-0020-white-resin-four-bin-carousel-organizer,White-Resin Four-Bin Carousel Organizer,bathroom/accessories,0.34,0.34,0.38,7760,15476,2,691819,3accbdc3d13f28867f264343ecda5e0a473487615150e0bd69e0cbb32698a677,assets/bathroom/accessories/bac-0020-white-resin-four-bin-carousel-organizer.usdz,previews/bathroom/accessories/bac-0020-white-resin-four-bin-carousel-organizer.jpg
BFX-0001,bfx-0001-white-porcelain-close-coupled-two-piece-toilet,White-Porcelain Close-Coupled Two-Piece Toilet,bathroom/fixtures,0.42,0.72,0.78,9654,19272,3,1277008,c61043e24c954e29e3578ded4c46aa444575b22a08282aa0d0cc789cc7357f4b,assets/bathroom/fixtures/bfx-0001-white-porcelain-close-coupled-two-piece-toilet.usdz,previews/bathroom/fixtures/bfx-0001-white-porcelain-close-coupled-two-piece-toilet.jpg
BFX-0002,bfx-0002-matte-black-skirted-one-piece-toilet,Matte-Black Skirted One-Piece Toilet,bathroom/fixtures,0.4,0.7,0.74,8964,17900,3,801711,7ac1dabd9b78fe95c340e8833305f77403044a6f3946ca5de3bbd83e1184a4fe,assets/bathroom/fixtures/bfx-0002-matte-black-skirted-one-piece-toilet.usdz,previews/bathroom/fixtures/bfx-0002-matte-black-skirted-one-piece-toilet.jpg
BFX-0003,bfx-0003-ivory-high-cistern-pull-chain-toilet,Ivory High-Cistern Pull-Chain Toilet,bathroom/fixtures,0.5,0.78,1.65,10540,20976,4,1576599,a686f1f8f22b4c40e45adf6cdc0046fab1ad05198171367ba9669ceb11dcdbb1,assets/bathroom/fixtures/bfx-0003-ivory-high-cistern-pull-chain-toilet.usdz,previews/bathroom/fixtures/bfx-0003-ivory-high-cistern-pull-chain-toilet.jpg
BFX-0004,bfx-0004-sage-ceramic-twin-tap-freestanding-bidet,Sage-Ceramic Twin-Tap Freestanding Bidet,bathroom/fixtures,0.38,0.6,0.44,9782,19468,3,1202641,2f76bdec59559b4053870716eecb577ea9cebcaf4e96b9b41389a56f1011e8ae,assets/bathroom/fixtures/bfx-0004-sage-ceramic-twin-tap-freestanding-bidet.usdz,previews/bathroom/fixtures/bfx-0004-sage-ceramic-twin-tap-freestanding-bidet.jpg
BFX-0005,bfx-0005-white-ceramic-tall-module-compact-toilet,White-Ceramic Tall-Module Compact Toilet,bathroom/fixtures,0.5,0.7,1.05,9668,19300,3,1263209,6ba4c866d154f5020b5c737f55ffdb859b8cf13fa4c0564ea51170d552b75f19,assets/bathroom/fixtures/bfx-0005-white-ceramic-tall-module-compact-toilet.usdz,previews/bathroom/fixtures/bfx-0005-white-ceramic-tall-module-compact-toilet.jpg
BFX-0006,bfx-0006-white-porcelain-fluted-pedestal-basin,White-Porcelain Fluted-Pedestal Basin,bathroom/fixtures,0.56,0.46,0.86,4476,8800,3,811837,1a674b344ea109e33b7588df0a39bdd920e9574455a5902ef79c2f7f6d45399e,assets/bathroom/fixtures/bfx-0006-white-porcelain-fluted-pedestal-basin.usdz,previews/bathroom/fixtures/bfx-0006-white-porcelain-fluted-pedestal-basin.jpg
BFX-0007,bfx-0007-black-steel-twin-leg-console-sink,Black-Steel Twin-Leg Console Sink,bathroom/fixtures,0.72,0.48,0.86,3060,6016,4,887228,2761e9c2d2babc9c447564ef397000ff109b69444b8fe831c94d7d56c7c20336,assets/bathroom/fixtures/bfx-0007-black-steel-twin-leg-console-sink.usdz,previews/bathroom/fixtures/bfx-0007-black-steel-twin-leg-console-sink.jpg
